"","D1","D2","fear_mean","disgust_mean","approach_mean"
"Sp_136",-0.837784672798343,-0.222754228609438,31.5512820512821,51,27.6794871794872
"Sp_137",-0.637464380844916,0.34092472534378,33.1714285714286,38.7142857142857,26.4285714285714
"Sp_138",-0.110846800267065,0.557991551226879,44.780487804878,61.9024390243902,29.390243902439
"Sp_139",-0.5935301682239,0.260967048167739,38.7659574468085,45.063829787234,30.8085106382979
"Sp_140",-0.0646097671604375,0.45752238276219,34.6216216216216,44.8108108108108,20.4324324324324
"Sp_141",0.18497259732118,0.959504500496216,39.5,68.6666666666667,32.5
"Sp_142",0.75937724700539,0.0232537232494271,76.6046511627907,81.2093023255814,63.6511627906977
"Sp_143",0.0853680259077366,-0.626025140014967,40.75,46.25,32.4285714285714
"Sp_144",0.666934682011605,0.40629087656958,61.0714285714286,67.1785714285714,53.1904761904762
"Sp_145",-0.694153302729073,0.368743582871273,18.8108108108108,19.2702702702703,13.9459459459459
"Sp_146",0.290202773485181,0.405578559024827,66.5142857142857,68.6285714285714,41.0285714285714
"Sp_147",0.141952472244811,0.342553072730129,59.8648648648649,63.5135135135135,49.3513513513514
"Sp_148",0.584631715727563,0.369071484255866,66.7674418604651,72.0697674418605,43.3488372093023
"Sp_149",0.81123429356655,0.21138237746543,63.6666666666667,71.3076923076923,49.0769230769231
"Sp_150",-0.641107431042889,-0.406519925624656,20.25,30.3611111111111,25.7222222222222
"Sp_151",0.467802368938314,0.262851792226413,52.6571428571429,61.8285714285714,47.5142857142857
"Sp_152",0.118898103489073,0.572431447591001,62.0625,66.5625,44.0625
"Sp_153",-0.583909530709212,0.459940374348798,49.5384615384615,57.7948717948718,40.1538461538462
"Sp_154",-0.181659052229725,0.476664093948433,65.2702702702703,67.7297297297297,46.7027027027027
"Sp_155",0.0214435481847108,0.547527935382483,41.3783783783784,51.4594594594595,35.6486486486486
"Sp_156",-0.104432468562096,0.669499730343426,45.1780821917808,52.8630136986301,35.7397260273973
"Sp_157",-0.197982334704841,-0.647316414327585,44.125,47.4375,31.8125
"Sp_158",0.199263241824126,-0.568415694303744,59.0235294117647,63.3882352941176,46.8
"Sp_159",0.441231496381646,0.386258219908551,79.1388888888889,83.3333333333333,65.6111111111111
"Sp_160",-0.592841746510787,-0.11361212264047,62.05,76.225,47.325
"Sp_161",0.391078184323234,-0.303177120802761,67.2368421052632,73.6315789473684,62.1315789473684
"Sp_162",-0.168702579780175,-0.650314620714453,33.15,40.025,27.35
"Sp_163",-0.000577190598970011,0.225823910822367,50.1590909090909,58.9545454545455,41.8636363636364
"Sp_164",-0.539992226679084,0.853184699459541,13.8529411764706,12.2352941176471,6.20588235294118
"Sp_165",-0.744257966010262,-0.157258814828758,17.8717948717949,23.4615384615385,16.4615384615385
"Sp_166",-0.566107093576767,0.379626486599178,36.4516129032258,42.9032258064516,28.4516129032258
"Sp_167",0.244802694149018,-0.824917941238081,54.804347826087,59.3695652173913,43.2391304347826
"Sp_168",-0.398449903467644,0.55951405645649,43.9772727272727,64.4545454545455,39.7954545454545
"Sp_169",0.567890488446404,0.448280621169445,67.0975609756098,69.780487804878,44.3170731707317
"Sp_170",0.479123049298428,-0.536212491998601,69.3428571428571,77.5714285714286,57.5428571428571
"Sp_171",0.280691740768105,0.166548946609226,54.925,65.05,48.15
"Sp_172",-0.370256315391496,-0.093689356318894,20.9090909090909,26.040404040404,19.5353535353535
"Sp_173",0.00405637490190073,-0.661017998919171,65.4489795918367,66.2857142857143,50.7551020408163
"Sp_174",-0.815986987160121,0.0168414511041267,48.3428571428571,43.5428571428571,32.4571428571429
"Sp_175",-0.734551318654433,-0.267814146312437,29.5,39.3478260869565,25.7173913043478
"Sp_176",-0.335291864729365,1.048260482378,4.39583333333333,5.5625,5.70833333333333
