"","D1","D2","D3","D4","D5","fear_mean","disgust_mean","approach_mean"
"Sp_157",-0.143807626659063,-0.220302503946645,0.0837472647641547,0.42657124241701,-0.391178569657353,44.125,47.4375,31.8125
"Sp_158",0.208548629599143,-0.240472430645997,-0.30300167733093,0.370570514713643,-0.19903789354736,59.0235294117647,63.3882352941176,46.8
"Sp_159",0.286434777508237,0.237755913669853,0.230917164486123,-0.0804605647542673,0.499657583970472,79.1388888888889,83.3333333333333,65.6111111111111
"Sp_160",-0.429502431530903,-0.104929485103349,0.0545876953892839,-0.312705109595026,-0.243909775236479,62.05,76.225,47.325
"Sp_161",0.254838649183915,-0.380115605835804,0.387121171060759,0.17536629103126,0.0507219526255656,67.2368421052632,73.6315789473684,62.1315789473684
"Sp_162",-0.1279566002111,-0.138021200344502,-0.234070320695821,0.520667611919428,-0.278057424803455,33.15,40.025,27.35
"Sp_163",-0.0102334715227592,0.118555603815135,0.0978314929152754,0.392371547803436,0.410268813574942,50.1590909090909,58.9545454545455,41.8636363636364
"Sp_164",-0.212863828530422,0.20121394202915,0.895492799375328,-0.0405180408014891,-0.0345408031862313,13.8529411764706,12.2352941176471,6.20588235294118
"Sp_165",-0.590788698623432,-0.0997026623218188,0.0654761744775605,-0.358834184704729,0.139695666297686,17.8717948717949,23.4615384615385,16.4615384615385
"Sp_166",-0.521761451104647,0.393687631681997,-0.026471894165194,0.315533332972558,-0.0231951651597891,36.4516129032258,42.9032258064516,28.4516129032258
"Sp_167",0.0764776006093231,-0.244812582512633,0.449602525818545,-0.4477967106013,-0.3037427736647,54.804347826087,59.3695652173913,43.2391304347826
"Sp_168",-0.204777710563444,0.488361586130052,0.323597646226516,0.181854272120489,-0.355995425456567,43.9772727272727,64.4545454545455,39.7954545454545
"Sp_169",0.406539897001,0.407450237301915,-0.375862167984209,-0.222437293650507,-0.00976321995419293,67.0975609756098,69.780487804878,44.3170731707317
"Sp_170",0.349681046917831,-0.431926507584446,-0.0342491725996047,-0.0839374149810506,-0.310128059823618,69.3428571428571,77.5714285714286,57.5428571428571
"Sp_171",0.24443177170104,0.0975443583800597,-0.0394296563142195,0.0806435396658661,0.523127362767773,54.925,65.05,48.15
"Sp_172",-0.256138600816433,0.031127885811242,-0.197433890268084,0.414024611608838,-0.38111287822074,20.9090909090909,26.040404040404,19.5353535353535
"Sp_173",-0.0184242099065724,-0.480658109600221,0.250294938788136,0.165427400848305,0.251603356912685,65.4489795918367,66.2857142857143,50.7551020408163
"Sp_174",-0.660228189906586,-0.08998665180063,0.324888930479849,-0.0942160508006337,0.183784607141171,48.3428571428571,43.5428571428571,32.4571428571429
"Sp_175",-0.575499629296499,-0.167638723186936,-0.140541333854202,-0.333236029266697,0.274120156687955,29.5,39.3478260869565,25.7173913043478
